DATE,TOTRA
1931-06-24,5127.168
1931-07-01,5206.496
1931-07-08,5194.258
1931-07-15,5251.569
1931-07-22,5161.143
1931-07-29,5151.809
1931-08-05,5150.669
1931-08-12,5346.756
1931-08-19,5416.391
1931-08-26,5440.863
1931-09-02,5464.415
1931-09-09,5449.064
1931-09-16,5678.751
1931-09-23,5449.847
1931-09-30,5529.534
1931-10-07,5705.028
1931-10-14,5926.49
1931-10-21,5827.102
1931-10-28,5731.549
1931-11-04,5664.97
1931-11-11,5704.196
1931-11-18,5692.614
1931-11-25,5625.565
1931-12-02,5637.445
1931-12-09,5600.482
1931-12-16,5843.08
1931-12-23,5728.855
1931-12-30,5985.82
1932-01-06,5716.331
1932-01-13,5637.728
1932-01-20,5620.664
1932-01-27,5523.51
1932-02-03,5533.391
1932-02-10,5466.989
1932-02-17,5527.784
1932-02-24,5458.926
1932-03-02,5434.994
1932-03-09,5399.38
1932-03-16,5450.667
1932-03-23,5342.002
1932-03-30,5338.638
1932-04-06,5380.03
1932-04-13,5509.354
1932-04-20,5512.537
1932-04-27,5548.108
1932-05-04,5603.928
1932-05-11,5615.64
1932-05-18,5681.286
1932-05-25,5635.221
1932-06-01,5650.059
1932-06-08,5546.646
1932-06-15,5635.11
1932-06-22,5588.153
1932-06-29,5642.443
1932-07-06,5731.943
1932-07-13,5768.787
1932-07-20,5793.312
1932-07-27,5768.578
1932-08-03,5746.402
1932-08-10,5723.604
1932-08-17,5802.994
1932-08-24,5772.451
1932-08-31,5815.022
1932-09-07,5828.63
1932-09-14,5947.562
1932-09-21,5879.386
1932-09-28,5862.083
1932-10-05,5903.625
1932-10-12,5914.403
1932-10-19,5955.708
1932-10-26,5940.115
1932-11-02,5963.378
1932-11-09,5897.967
1932-11-16,6045.855
1932-11-23,5962.108
1932-11-30,5985.694
1932-12-07,5964.625
1932-12-14,6053.163
1932-12-21,6075.829
1932-12-28,6105.13
1933-01-04,6209.629
1933-01-11,6113.143
1933-01-18,6097.376
1933-01-25,6044.665
1933-02-01,6048.979
1933-02-08,6015.285
1933-02-15,6105.386
1933-02-22,6175.777
1933-03-01,6594.133
1933-03-08,7044.647
1933-03-15,7261.322
1933-03-22,6966.154
1933-03-29,6749.825
1933-04-05,6625.522
1933-04-12,6611.026
1933-04-19,6637.394
1933-04-26,6576.202
1933-05-03,6597.883
1933-05-10,6492.504
1933-05-17,6507.985
1933-05-24,6475.194
1933-05-31,6466.427
1933-06-07,6485.53
1933-06-14,6570.299
1933-06-21,6525.726
1933-06-28,6484.005
1933-07-05,6497.002
1933-07-12,6559.043
1933-07-19,6565.379
1933-07-26,6518.973
1933-08-02,6531.083
1933-08-09,6506.187
1933-08-16,6600.431
1933-08-23,6571.956
1933-08-30,6595.439
1933-09-06,6640.93
1933-09-13,6738.325
1933-09-20,6775.207
1933-09-27,6770.43
1933-10-04,6823.443
1933-10-11,6806.825
1933-10-18,6937.052
1933-10-25,6874.888
1933-11-01,6923.377
1933-11-08,6819.781
1933-11-15,7024.974
1933-11-22,6900.67
1933-11-29,6865.398
1933-12-06,6906.799
1933-12-13,7027.832
1933-12-20,7001.832
1933-12-27,6993.206
1934-01-03,7093.569
1934-01-10,7028.567
1934-01-17,7077.984
1934-01-24,7030.016
1934-01-31,6988.696
1934-02-07,6943.107
1934-02-14,7134.292
1934-02-21,7138.121
1934-02-28,7309.002
1934-03-07,7525.986
1934-03-14,7714.853
1934-03-21,7690.908
1934-03-28,7645.262
1934-04-04,7694.036
1934-04-11,7760.942
1934-04-18,7972.449
1934-04-25,7936.15
1934-05-02,8048.397
1934-05-09,7994.787
1934-05-16,8089.011
1934-05-23,8060.262
1934-05-30,8032.214
1934-06-06,8127.232
1934-06-13,8279.586
1934-06-20,8238.925
1934-06-27,8209.171
1934-07-03,8087.856
1934-07-11,8084.471
1934-07-18,8150.33
1934-07-25,8120.968
1934-08-01,8178.215
1934-08-08,8134.983
1934-08-15,8265.161
1934-08-22,8207.734
1934-08-29,8232.846
1934-09-05,8233.503
1934-09-12,8267.217
1934-09-19,8290.332
1934-09-26,8241.545
1934-10-03,8255.456
1934-10-10,8196.97
1934-10-17,8370.202
1934-10-24,8255.243
1934-10-31,8228.752
1934-11-07,8216.034
1934-11-14,8474.177
1934-11-21,8397.927
1934-11-28,8339.901
1934-12-05,8384.284
1934-12-12,8451.358
1934-12-19,8490.506
1934-12-26,8387.313
1935-01-02,8508.828
1935-01-09,8476.084
1935-01-16,8637.571
1935-01-23,8612.562
1935-01-30,8638.857
1935-02-06,8722.86
1935-02-13,8720.615
1935-02-20,8843.343
1935-02-27,8870.736
1935-03-06,8852.088
1935-03-13,8904.515
1935-03-20,8917.449
1935-03-27,8853.751
1935-04-03,8891.387
1935-04-10,8855.019
1935-04-17,9052.832
1935-04-24,9062.618
1935-05-01,9135.191
1935-05-08,9046.828
1935-05-15,9209.222
1935-05-22,9134.406
1935-05-29,9149.879
1935-06-05,9238.34
1935-06-12,9386.472
1935-06-19,9517.819
1935-06-26,9437.145
1935-07-03,9577.501
1935-07-10,9549.955
1935-07-17,9631.028
1935-07-24,9558.342
1935-07-31,9555.616
1935-08-07,9578.163
1935-08-14,9739.787
1935-08-21,9755.108
1935-08-28,9765.051
1935-09-04,9792.09
1935-09-11,9873.127
1935-09-18,9998.111
1935-09-25,9891.758
1935-10-02,9995.212
1935-10-09,10022.009
1935-10-16,10495.514
1935-10-23,10362.622
1935-10-30,10381.304
1935-11-06,10371.806
1935-11-13,10666.118
1935-11-20,10611.903
1935-11-27,10630.794
1935-12-04,10782.292
1935-12-11,10917.344
1935-12-18,11046.381
1935-12-24,10980.9
1935-12-31,11025.8
1936-01-08,10962.933
1936-01-15,11154.384
1936-01-22,11094.582
1936-01-29,11066.664
1936-02-05,11074.113
1936-02-12,11159.572
1936-02-19,11167.126
1936-02-26,11159.588
1936-03-04,11127.736
1936-03-11,11116.541
1936-03-18,11237.628
1936-03-25,11137.192
1936-04-01,11164.386
1936-04-08,11090.682
1936-04-15,11295.187
1936-04-22,11163.378
1936-04-29,11155.728
1936-05-06,11135.049
1936-05-13,11243.252
1936-05-20,11241.641
1936-05-27,11243.998
1936-06-03,11338.323
1936-06-10,11362.832
1936-06-17,11504.062
1936-06-24,11366.921
1936-07-01,11642.495
1936-07-08,11564.283
1936-07-15,11751.471
1936-07-22,11669.412
1936-07-29,11637.79
1936-08-05,11642.372
1936-08-12,11712.842
1936-08-19,11722.49
1936-08-26,11685.608
1936-09-02,11748.494
1936-09-09,11777.17
1936-09-16,12025.011
1936-09-23,11826.014
1936-09-30,11862.204
1936-10-07,11961.819
1936-10-14,12268.707
1936-10-21,12106.944
1936-10-28,12065.573
1936-11-04,12048.652
1936-11-11,12134.953
1936-11-18,12302.74
1936-11-25,12224.679
1936-12-02,12301.473
1936-12-09,12236.522
1936-12-16,12575.081
1936-12-23,12390.915
1936-12-30,12454.798
1937-01-06,12382.432
1937-01-13,12417.228
1937-01-20,12419.193
1937-01-27,12318.18
1937-02-03,12305.891
1937-02-10,12270.678
1937-02-17,12463.937
1937-02-24,12385.101
1937-03-03,12355.279
1937-03-10,12264.292
1937-03-17,12495.724
1937-03-24,12317.732
1937-03-31,12339.497
1937-04-07,12333.273
1937-04-14,12550.625
1937-04-21,12464.032
1937-04-28,12445.145
1937-05-05,12431.243
